epoch,train_mae,val_mae
0,0.8274915081262588,0.45592914551496505
1,0.46995621258020404,0.642786374092102
2,0.4204212253093719,0.37328593820333483
3,0.37180412527918816,0.4177020984888077
4,0.34373755323886873,0.3100346082448959
5,0.3207970813959837,0.2825320816040039
6,0.29625103309750556,0.27784833043813706
7,0.27749360525608063,0.2514556585252285
8,0.26200510054826737,0.23339155480265616
9,0.2551299886405468,0.22692424505949021
10,0.2352640223354101,0.21406939700245858
11,0.22867460145056248,0.24219163730740548
12,0.21925410582125188,0.1950048252940178
13,0.20739086773991586,0.19291560977697372
14,0.2039503179639578,0.20740193679928778
15,0.19628076481819154,0.257613321095705
16,0.1924344732761383,0.1935214750468731
17,0.1845299901664257,0.1920904238522053
18,0.17640737017989158,0.18339898079633712
19,0.17274126551300287,0.161122976988554
20,0.1682255155518651,0.21158853888511658
21,0.16665307036042212,0.159055140838027
22,0.1592263236492872,0.1494440197199583
23,0.1564142397493124,0.14547270491719247
24,0.15165772677958012,0.1549519480764866
25,0.15072178043425083,0.15510754480957986
26,0.14747648332267999,0.14401617437601089
27,0.14355862136185168,0.1383848039060831
28,0.14226263020187616,0.14654188096523285
29,0.14192595570534466,0.1355643656104803
30,0.13558799382299186,0.12798626638948918
31,0.13524643436819314,0.12779384441673755
32,0.13158436150848865,0.1360326401889324
33,0.13001214400678873,0.1357865498960018
34,0.12961196668446065,0.13828575946390628
35,0.12709782169759273,0.12396716028451919
36,0.12429109216481447,0.13528557866811752
37,0.12343013821542263,0.16510779529809952
38,0.12125164230912924,0.11716019682586193
39,0.11926908948272466,0.13629716582596302
40,0.11768545426428317,0.11404050871729851
41,0.11637396708875894,0.1254492224007845
42,0.11805045277625323,0.12693962074816226
43,0.11253774405270815,0.12194492168724537
44,0.11323799312859774,0.12719233013689518
45,0.10960056038200855,0.12323925510048866
46,0.10973274099081755,0.11396704889833927
47,0.1076432329043746,0.10633275836706162
48,0.10533222191035747,0.1158400858938694
49,0.10640841895341874,0.10760656774044036
50,0.10538441369682551,0.11444910682737827
51,0.10259155669808388,0.11176147550344467
52,0.1038502318635583,0.10516157269477844
53,0.10329748038947582,0.10738710008561611
54,0.1003327618688345,0.10596371829509735
55,0.10016173508018256,0.1012976297736168
56,0.10043197080492973,0.10541442483663559
57,0.09913759959489107,0.10462473817169667
58,0.09656847063452005,0.11016644828021527
59,0.09551313982158899,0.10360391840338706
60,0.09814990518242121,0.12592683799564838
61,0.09509135886281729,0.0970467785000801
62,0.09525278858840465,0.09927455455064774
63,0.09304158163070679,0.09958989851176739
64,0.09191348081827164,0.11368119515478611
65,0.09232664446532726,0.09738311558961868
66,0.09299377907812595,0.10064088180661201
67,0.0901039155907929,0.10589458934962749
68,0.09288237092643976,0.10362740449607372
69,0.08990003484487534,0.09964208781719208
70,0.08823000034689903,0.09804509900510311
71,0.0879628531448543,0.09635277874767781
72,0.08930754404142499,0.10029074542224407
73,0.08735237005725503,0.09305126510560513
74,0.08700859470665455,0.10480551235377789
75,0.08634099245443941,0.10434423752129078
76,0.086347517285496,0.09329638950526714
77,0.08544664537906646,0.09521858118474484
78,0.08415444761887193,0.09443162381649017
79,0.08541746110469103,0.09534686915576458
