epoch,train_mae,val_mae
0,13.1348129542528,9.653238754272461
1,8.549359570562313,7.73208366394043
2,6.735838598909631,5.927789669036866
3,5.423858110883595,5.029156322479248
4,4.815200257090341,4.488842830657959
5,4.369692477504764,4.384349250793457
6,4.038733054051357,3.982973365783691
7,3.8319094054466856,3.988733034133911
8,3.6536066616530967,3.4370086765289307
9,3.3902580273889864,3.138186855316162
10,3.2457268955433265,3.053230056762695
11,3.1526162561062163,3.0567280673980712
12,2.996999010575556,2.8758257007598877
13,2.847926888845663,3.1622746658325194
14,2.805387804993486,2.6616303157806396
15,2.6752960681915283,2.569530735015869
16,2.6030185750100463,2.601300525665283
17,2.51404540201204,2.46553186416626
18,2.4688034099815166,2.371205167770386
19,2.442260002667925,2.500952596664429
20,2.373601007250558,2.344552516937256
21,2.2450364901956203,2.3863195514678956
22,2.2147198071521994,2.34362509727478
23,2.1727678100619694,2.2150855588912965
24,2.1244745961332745,2.263698310852051
25,2.1085274367205864,2.383512601852417
26,2.042500807120737,2.0669600772857666
27,2.029323361616219,2.092734899520874
28,1.9667364190110064,2.208788857460022
29,1.9389288435995051,1.9735846328735351
30,1.8942538552579626,1.9879993677139283
31,1.8840081923830825,1.921334981918335
32,1.8362562445412696,1.9673751306533813
33,1.8091508318892622,1.91485342502594
34,1.7848553341046898,1.9315896844863891
35,1.7589160879101373,1.8324600982666015
36,1.727782277934319,1.7906448793411256
37,1.710609458189095,1.7907398128509522
38,1.6937033117344948,1.8300527000427247
39,1.672241333311638,1.7771851110458374
40,1.6563084758488478,1.7786397218704224
41,1.6380656250810202,1.7407814931869507
42,1.6233039018327156,1.7320637226104736
43,1.6088000525415471,1.707524528503418
44,1.6006279867307274,1.7056282186508178
45,1.5899527526534765,1.6959272050857543
46,1.5828858846056777,1.69197913646698
47,1.5753741042803875,1.6901705074310303
48,1.5726720843694906,1.6909988117218018
49,1.5690453611643969,1.6878638792037963
50,2.272214148951843,2.4525200653076173
51,2.1053434874104187,2.174561858177185
52,2.0680481480286184,1.9993224811553956
53,2.0691073299509233,2.0599980926513672
54,1.9748872465791956,1.9341937828063964
55,1.9839708910579175,2.096261625289917
56,1.9456590245255327,2.238436279296875
57,1.9573060020936275,2.023017315864563
58,1.914627166975916,2.0528985595703126
59,1.9722876875801425,1.9335112762451172
60,1.905765500743832,1.8804999446868897
61,1.8194759915360308,2.132892913818359
62,1.8802486120072086,1.9318206644058227
63,1.8652099792936208,1.843242769241333
64,1.8399041511316214,1.8578301668167114
65,1.792439738206104,2.0324458932876586
66,1.8111146118788592,1.772124695777893
67,1.7592110602201614,2.1746874952316286
68,1.7221042107691806,1.8632198429107667
69,1.7187854568515204,1.933972339630127
70,1.722489849656029,1.9463656425476075
71,1.7314992341320072,1.8275080347061157
72,1.662365969303435,1.7356204509735107
73,1.6535247416622871,1.7405619096755982
74,1.6262491783209607,1.7697951221466064
75,1.614551788937729,1.7442625427246095
76,1.6211426753913407,1.7364656114578247
77,1.5875311594093795,1.7439778232574463
78,1.564101221287145,1.6568242931365966
79,1.5979195041994079,1.6890754652023316
80,1.572143389060434,1.7149934482574463
81,1.5148976387175839,1.554455165863037
82,1.5044706775023875,1.5242065382003784
83,1.5242657840779397,1.6395464754104614
84,1.4995786531836586,1.5207521295547486
85,1.4592329084345725,1.5780755949020386
86,1.465720568083029,1.6776982355117798
87,1.4570980188065925,1.6713756608963013
88,1.4601097128032583,1.4397407102584838
89,1.4498802518422624,1.5828065013885497
90,1.4048124066496317,1.5492976331710815
91,1.3927481237765962,1.4787911701202392
92,1.375160777463322,1.413773546218872
93,1.381554020189606,1.4573465204238891
94,1.3429940031693044,1.4797894620895387
95,1.3589434170089991,1.461047601699829
96,1.312926206968527,1.4580940103530884
97,1.3136645945827519,1.5007501220703126
98,1.3099548542394048,1.405206699371338
99,1.2836821163650107,1.4296370601654054
100,1.2720709627708502,1.5253731155395507
101,1.2579543548347676,1.3715858745574951
102,1.2337972790794034,1.4194626855850219
103,1.248320716672239,1.4385865688323975
104,1.226530199557279,1.3735212898254394
105,1.213273781590757,1.3172207498550415
106,1.2154859293878606,1.339450159072876
107,1.1865557331954484,1.3170279216766358
108,1.168219755181169,1.2671089792251586
109,1.1563109908483724,1.3420935821533204
110,1.1640673928556189,1.272386269569397
111,1.1604323329123776,1.2996040105819702
112,1.1352973195303857,1.3718196725845337
113,1.1334672121875053,1.2805487298965454
114,1.1128110590234268,1.2384019374847413
115,1.1072131790946016,1.2210041904449462
116,1.1073447676886499,1.2573326301574708
117,1.0930154202258693,1.2676995134353637
118,1.0831360695636378,1.2965437030792237
119,1.0793894893300218,1.1871723413467408
120,1.0565793145019395,1.191812334060669
121,1.0512193578534421,1.1955216932296753
122,1.0428166094079483,1.1901436376571655
123,1.0404541297296508,1.1898121690750123
124,1.0239360306115277,1.1744090843200683
125,1.0209009072421926,1.171852297782898
126,1.0153083869841246,1.1741583108901978
127,0.9992713870200436,1.155864520072937
128,0.9990473458197264,1.1498205709457396
129,0.9954523101317144,1.1531571197509765
130,0.9879239338689145,1.143467993736267
131,0.9784785461636771,1.1570960092544555
132,0.9700553253688643,1.1472397661209106
133,0.9698041165824485,1.1391570162773133
134,0.9602986131094199,1.1372349119186402
135,0.9589256638974215,1.124641101360321
136,0.952119690654552,1.1287363600730895
137,0.9479478064891511,1.1315987300872803
138,0.9473455748726837,1.1300978469848633
139,0.942620895077697,1.1294594454765319
140,0.9391458656935565,1.1244058108329773
141,0.937206319475596,1.1115307211875916
142,0.9329824653346982,1.121489510536194
143,0.9307873196306482,1.1148694252967835
144,0.9267802940005749,1.110306372642517
145,0.9255921445061676,1.1086895895004272
146,0.9222115209672304,1.1106681847572326
147,0.9230802138294794,1.1103772878646851
148,0.921675558111309,1.1099498057365418
149,0.9202790397458371,1.1088619589805604
150,1.466263892903792,1.4284006309509278
151,1.3742811700939077,1.3616474056243897
152,1.3899602816168186,1.584704542160034
153,1.3705687575635657,1.452425708770752
154,1.3677139640909382,1.450151858329773
155,1.3616776751205983,1.4926331806182862
156,1.3919485796869329,1.5542843294143678
157,1.357920801745052,1.4667025470733643
158,1.3939510383437166,1.6526563835144044
159,1.3538598560653956,1.4890006732940675
160,1.3603984644982667,1.428046875
161,1.3073871694834887,1.4822828197479248
162,1.4132363574694744,1.5642173528671264
163,1.3554674439725622,1.5874784040451049
164,1.3369612767633083,1.5114372301101684
165,1.3069622601028037,1.5777572917938232
166,1.319990102168733,1.5553423929214478
167,1.3382298767039207,1.6292083549499512
168,1.327973451234598,1.4909274768829346
169,1.3231049132558097,1.34762788772583
170,1.3054723971712905,1.3321747493743896
171,1.2780247895063552,1.4069752407073974
172,1.3225597480757048,1.4506317377090454
173,1.2574293307498492,1.4617861318588257
174,1.2722683749367705,1.3404989385604857
175,1.2584962997816305,1.3305997085571288
176,1.2572674329301952,1.3894099235534667
177,1.2837819399031918,1.3521794605255126
178,1.2905359468628874,1.3833713912963868
179,1.2770822174781191,1.479666042327881
180,1.254329573791639,1.243940052986145
181,1.2537812711918248,1.2978732109069824
182,1.2556860457479426,1.4403334760665893
183,1.2325313893039669,1.211273422241211
184,1.2393203804978228,1.5514058685302734
185,1.253275906090188,1.3556823778152465
186,1.2241269898625602,1.4472369813919068
187,1.2208100198644452,1.3155650854110719
188,1.2186493472715394,1.350245008468628
189,1.1931125753748733,1.5131928825378418
190,1.2529716460050735,1.4589841079711914
191,1.2021284520098594,1.2714028120040894
192,1.202778868443143,1.5282238960266112
193,1.2053385181764587,1.4132105922698974
194,1.168948367106176,1.266263608932495
195,1.1436058488567318,1.3188874959945678
196,1.1843084750977237,1.3009789085388184
197,1.1779321595630814,1.3308322095870972
198,1.1893190129668312,1.2892222690582276
199,1.197520856308726,1.3163905000686646
200,1.1334569422544631,1.3816031455993651
201,1.140861013821796,1.2269805574417114
202,1.1320999037902968,1.2047123622894287
203,1.1431882508033144,1.2573685979843139
204,1.1115005965781424,1.2078884792327882
205,1.1170872006796102,1.3187032699584962
206,1.114480641035907,1.215913667678833
207,1.1068633188188604,1.440122013092041
208,1.1249823886736305,1.3166151142120361
209,1.1019314691028763,1.2707772159576416
210,1.066366657219102,1.2284918546676635
211,1.097105886028931,1.250969123840332
212,1.1457219635490823,1.213789882659912
213,1.0614349683829114,1.1995062351226806
214,1.0793505458705193,1.2066172075271606
215,1.0641081169643234,1.230932822227478
216,1.0481948092975448,1.2303438997268676
217,1.0361492095795353,1.198079719543457
218,1.0463083233453532,1.2924400424957276
219,1.0408509030806279,1.270689263343811
220,1.0197853324687587,1.1753477764129638
221,1.0204934762642446,1.1130757546424865
222,1.0315336917353943,1.1774094796180725
223,1.0041083213502326,1.2554729604721069
224,1.0459363745377126,1.2212936353683472
225,1.0341986649859267,1.1925470209121705
226,0.9999045339305844,1.2072349357604981
227,1.017345296070639,1.2342198944091798
228,1.0065164476369335,1.1903721284866333
229,0.9737912379534899,1.1509178495407104
230,0.9922679889518603,1.1891354179382325
231,0.9949703865346655,1.1851395797729491
232,0.973869782633486,1.1262607717514037
233,0.9823805705635948,1.187266607284546
234,0.9813486316562754,1.1706820440292358
235,0.9708192490898402,1.1560486626625062
236,0.9614591477191554,1.206519365310669
237,0.9628370372594985,1.0789057254791259
238,0.9639131268568798,1.0557568073272705
239,0.9418159543940451,1.1451584196090698
240,0.9343777657610125,1.2067090129852296
241,0.9390957028464934,1.0764853525161744
242,0.9232843038255134,1.0969298577308655
243,0.9415338751489082,1.0145854449272156
244,0.9102362927082366,1.2274089097976684
245,0.9290275626477942,1.051272096633911
246,0.9195847748655134,1.1492724800109864
247,0.9319176800483095,1.1071032524108886
248,0.9096663995126707,1.0805128955841063
249,0.8951927692489287,1.059888813495636
250,0.8951209261354092,1.0709825086593627
251,0.885434325817412,1.074552640914917
252,0.8854881213829581,1.1030072498321533
253,0.8756832844388168,1.0222035479545593
254,0.8657866025392988,1.0648901510238646
255,0.8545545471453033,1.0178791546821595
256,0.8878784353754162,1.0337235593795777
257,0.8735678739252344,1.0809466743469238
258,0.8607276092588374,1.1251887106895446
259,0.8535010872688968,1.0610794353485107
260,0.8426909393968836,1.0514405941963196
261,0.8355669621872691,1.0827358508110045
262,0.8292283083485291,1.0713990211486817
263,0.83573478249322,1.0409853839874268
264,0.8213104479080808,1.0237891864776612
265,0.8314477474288603,1.0052890157699585
266,0.8145890104032196,1.0846449398994447
267,0.8131147712732838,1.0115035772323608
268,0.8040850384045491,1.0285627937316895
269,0.8140537622755608,1.0829015064239502
270,0.8015233373219988,0.9918258786201477
271,0.7973609234379456,1.0008866262435914
272,0.8010848523241229,1.0277638530731201
273,0.7979466150292253,0.9967005014419555
274,0.7802449686337362,1.0322997379302978
275,0.7782922281628162,1.0183137631416321
276,0.7757502667671812,1.0012758469581604
277,0.7779580323042068,1.023447461128235
278,0.7695818970688676,1.0148912382125854
279,0.7604340146073197,1.0043208837509154
280,0.7608505350298587,0.9504675769805908
281,0.7577099098568469,0.9740680575370788
282,0.7571374141009508,0.9858457374572754
283,0.751985658059078,0.9782458782196045
284,0.7433337437368073,0.95538654088974
285,0.7464871886557183,0.9638489866256714
286,0.7406600745378342,0.9715940809249878
287,0.7361756056810902,0.9906754970550538
288,0.7310027358806239,0.9513854336738586
289,0.7280062948707986,0.9785660076141357
290,0.7332887897449257,0.9678290367126465
291,0.7268501351364945,0.9517840695381165
292,0.7241425203011099,0.9450139307975769
293,0.7104797948778203,0.9262801599502564
294,0.7088421182294863,0.941531937122345
295,0.7024521120881613,0.9434485864639283
296,0.7075443716175789,0.9474251461029053
297,0.7035158482273068,0.945066225528717
298,0.7021966639873201,0.9583640933036804
299,0.6923450490014743,0.9202310776710511
300,0.6908203838145839,0.922428171634674
301,0.689968159240959,0.9216482853889465
302,0.6853941568231161,0.9239571642875671
303,0.6873664792660064,0.9484088778495788
304,0.6806973076499669,0.9237215375900268
305,0.680780058940955,0.916753351688385
306,0.6735565461943634,0.9276908874511719
307,0.6701270790226692,0.9333180475234986
308,0.6669801531639774,0.9174015974998474
309,0.668114599400917,0.9259391808509827
310,0.6625804452769524,0.8984951663017273
311,0.6628044695980781,0.9123801279067993
312,0.6627631419527847,0.9100901222229004
313,0.6536227084894096,0.9044496417045593
314,0.6560994149309344,0.906006600856781
315,0.6545747924694972,0.9035638880729675
316,0.6497101345948414,0.9051372218132019
317,0.6467705754052221,0.9012711882591248
318,0.6468315957921796,0.9034492778778076
319,0.6422667814567026,0.8959654068946838
320,0.6428625108921422,0.9065703940391541
321,0.6403104742016412,0.8961672210693359
322,0.6409702469817306,0.8994446873664856
323,0.6359271924052619,0.8954275631904602
324,0.6341705306441383,0.8941111421585083
325,0.6326513031942654,0.9023312878608704
326,0.630165180537553,0.8873253798484803
327,0.6304173189981849,0.8968573093414307
328,0.6274673777871427,0.8890384936332703
329,0.626334372347435,0.8898592376708985
330,0.6249822306949481,0.892017240524292
331,0.6246876078369343,0.8848391699790955
332,0.6209854330636758,0.8872051906585693
333,0.6198597721821439,0.8843354272842407
334,0.6200332741821761,0.8868767547607422
335,0.6191786981261937,0.8889170289039612
336,0.6172938610600159,0.886795027256012
337,0.6163248752070739,0.8878262066841125
338,0.6147025243370934,0.8892377138137817
339,0.6145390409283933,0.8847800850868225
340,0.6140253549128507,0.8865647387504577
341,0.6126815579106323,0.8848903822898865
342,0.6119702083874593,0.8844580602645874
343,0.6113335120994433,0.8827377128601074
344,0.610849219877108,0.884513897895813
345,0.6101444722276873,0.8835680484771729
346,0.6103277773456236,0.8829144978523255
347,0.6097410526950803,0.8839148497581482
348,0.6091171471418533,0.8833002519607543
349,0.6089665177649102,0.8830284523963928
350,1.097937350779508,1.2246765756607056
351,1.016900289902645,1.1010906505584717
352,1.0361179461521386,1.1944400215148925
353,1.0329635665480015,1.294466438293457
354,1.0055272020069899,1.1551402139663696
355,1.0059589996802067,1.1948975276947023
356,0.9844574495754411,1.2564554023742676
357,1.0303616307478036,1.1473444151878356
358,1.0241428798278875,1.2577640914916992
359,1.0590970579501802,1.1786519527435302
360,1.0224005722366603,1.2295231199264527
361,1.0024098447993792,1.2796441078186036
362,1.0086062640215443,1.1533755493164062
363,1.0226572741449407,1.387623257637024
364,1.0213302289490152,1.2394209957122804
365,1.021370549645044,1.2463996124267578
366,1.0538704775075998,1.1620866823196412
367,0.9866060224254575,1.252566041946411
368,1.0064479033503912,1.2657969331741332
369,1.012438049886079,1.3830782413482665
370,0.9856625985255284,1.1493171882629394
371,0.9949115741569384,1.2291953802108764
372,1.0117436220160627,1.1564803314208985
373,1.0071508109042075,1.1661419820785524
